Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","1484.1","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","2033.8","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-2.69","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-2.75","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","12628.2","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","12627.9","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.05","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.22","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","9912.6","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","13323.8","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.03","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.38","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","4","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","10796.9","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","4","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","11642.2","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","4","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-1.09","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","4","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.83","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","79","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","47573","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","79","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","53463.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","79","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.95","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","79","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.6","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","6","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","1.34","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","6","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","1.42","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","7","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","7864.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","7","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","6933.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","7","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.36","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","7","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.32","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","23131.6","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","21030.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.81","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.85","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","45340.1","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","47592.8","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.34","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.55","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","9","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","23103.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","9","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","22759.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","9","Argentine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.09","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","9","Argentine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.02","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","1","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","10467.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","1","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","12715.1","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","1","Arménie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.01","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","1","Arménie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.44","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","10","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","44835.4","X","Sources internationales sûres",""
