Zone,Code zone,Année,population,Evolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales,Cluster_x,Cluster_y
Arménie,1,2019,2957731.0,2.076,1103030.0,34415.850000000006,56.061,5,5
Afghanistan,2,2019,38041754.0,17.887,829645.0,20918.15,18.042,1,1
Albanie,3,2019,2880917.0,-0.788,1218370.0,42347.299999999996,53.844,3,3
Algérie,4,2019,43053054.0,12.881,1274945.0,33156.6,26.519,4,4
Angola,7,2019,31825295.0,22.331,892425.0,19012.850000000002,29.833,1,1
Antigua-et-Barbuda,8,2019,97118.0,6.121,907025.0,29492.0,63.515,5,5
Argentine,9,2019,44780677.0,6.125,1205960.0,39036.75,63.478,3,3
Australie,10,2019,25203198.0,8.378,1247205.0,39398.1,67.547,3,3
Autriche,11,2019,8955102.0,4.662,1347215.0,39766.75,59.192,3,3
Bahamas,12,2019,389482.0,6.077,958490.0,27776.499999999996,63.64,5,5
Barbade,14,2019,287025.0,0.96,1090985.0,32864.600000000006,56.386,5,5
Bangladesh,16,2019,163046161.0,6.733,958490.0,22385.45,19.925,2,2
Bolivie (État plurinational de),19,2019,11513100.0,9.208,899360.0,27145.050000000003,47.882,2,2
Botswana,20,2019,2303697.0,11.692,938050.0,26345.7,37.531,2,2
Brésil,21,2019,211049527.0,4.981,1184790.0,34240.65,58.48,3,3
Belize,23,2019,390353.0,12.912,1001560.0,26842.100000000002,44.86,2,2
Îles Salomon,25,2019,669823.0,17.238,880015.0,19290.25,29.934,1,1
Bulgarie,27,2019,7000119.0,-3.978,1041710.0,30017.6,50.365,5,5
Myanmar,28,2019,54045420.0,4.229,1039155.0,35613.049999999996,47.392,5,5
Burundi,29,2019,11530580.0,20.862,666125.0,15822.75,7.082,1,1
Cameroun,32,2019,25876380.0,17.208,1011050.0,26290.95,15.285,1,1
Canada,33,2019,37411047.0,5.991,1291735.0,39620.75,56.306,3,3
Cabo Verde,35,2019,549935.0,7.462,942795.0,26243.500000000004,36.134,2,2
République centrafricaine,37,2019,4745185.0,6.683,682550.0,18578.5,41.297,2,2
Sri Lanka,38,2019,21323733.0,3.197,992435.0,24611.95,28.118,2,2
Tchad,39,2019,15946876.0,20.623,829280.0,28491.9,34.678,2,2
Chili,40,2019,18952038.0,7.857,1123470.0,34262.55,52.786,5,5
"Chine, continentale",41,2019,1433783686.0,3.01,1221655.0,38434.5,39.174,5,5
Colombie,44,2019,50339443.0,8.267,1092080.0,26542.8,52.365,5,5
Comores,45,2019,850886.0,14.751,834025.0,21013.05,32.361,1,1
Congo,46,2019,5380508.0,16.392,796795.0,19385.15,48.032,2,2
Costa Rica,48,2019,5047561.0,6.441,1093540.0,29506.600000000002,57.249,5,5
Cuba,49,2019,11333483.0,0.45,1231875.0,30145.350000000002,41.421,5,5
Chypre,50,2019,1198575.0,4.783,1111790.0,33718.7,50.227,5,5
Azerbaïdjan,52,2019,10047718.0,7.056,1151210.0,35010.8,36.134,4,4
Bénin,53,2019,11801151.0,17.957,1012875.0,22965.8,20.518,1,1
Danemark,54,2019,5771876.0,2.372,1248665.0,42113.7,66.493,3,3
Dominique,55,2019,71808.0,1.115,1069085.0,29736.55,55.309,5,5
République dominicaine,56,2019,10738958.0,6.874,1084050.0,25473.350000000002,50.193,5,5
Bélarus,57,2019,9452411.0,0.307,1202675.0,33452.25,54.315,5,5
Équateur,58,2019,17373662.0,10.608,935495.0,23392.850000000002,50.991,2,2
