Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","28394.813","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","38041.754","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","50477.011","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","58558.27","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","2973.048","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2880.917","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","35333.881","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","43053.054","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","80899.961","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","83517.045","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","84.463","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","77.142","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","22514.281","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","31825.295","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","13.258","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","14.869","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","86.746","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","97.118","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","245.157","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","279.64","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","26630.303","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","34268.528","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","40482.788","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","44780.677","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","2888.092","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2957.731","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","101.455","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","106.314","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","21750.851","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25203.198","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8372.663","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","8955.102","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8924.388","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","10047.718","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","349.604","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","389.482","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1185.076","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1641.172","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","145924.797","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","163046.161","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","281.104","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","287.025","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","9433.152","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","9452.411","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","10859.94","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11539.328","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","314.655","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","390.353","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8944.708","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11801.151","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","65.674","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","62.506","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","678.323","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","763.092","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","9884.781","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11513.1","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25.979","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","3735.938","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","3301","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1953.498","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2303.697","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","21","Brésil","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","193886.508","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","21","Brésil","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","211049.527","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","383.906","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","433.285","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","27","Bulgarie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","7473.513","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","27","Bulgarie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","7000.119","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","15141.098","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","20321.378","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8397.668","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11530.58","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","486.671","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","549.935","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","14093.604","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","16486.542","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","19789.919","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25876.38","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","33746.093","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","37411.047","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","16886.186","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","18952.038","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","351","Chine","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1391725.007","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","351","Chine","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1465634.161","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","6924.642","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","7436.154","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","526.4","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","640.445","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1361169.419","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1433783.686","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","23104.546","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","23773.876","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1098.083","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1198.575","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","44750.054","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","50339.443","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","673.252","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","850.886","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","4145.391","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5380.508","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","4520.74","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5047.561","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","107","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","20059.147","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","107","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25716.544","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","4341.264","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","4130.304","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","11226.709","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11333.483","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","279","Curaçao","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","163.424","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","5526.388","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","5771.876","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","827.823","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","973.56","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","70.851","X","Sources internationales sûres",""
