Zone,Evolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales,Cluster
Arménie,2.076,1103030.0,34415.850000000006,56.061,5
Afghanistan,17.887,829645.0,20918.15,18.042,1
Albanie,-0.788,1218370.0,42347.299999999996,53.844,3
Algérie,12.881,1274945.0,33156.6,26.519,4
Angola,22.331,892425.0,19012.850000000002,29.833,1
Antigua-et-Barbuda,6.121,907025.0,29492.0,63.515,5
Argentine,6.125,1205960.0,39036.75,63.478,3
Australie,8.378,1247205.0,39398.1,67.547,3
Autriche,4.662,1347215.0,39766.75,59.192,3
Bahamas,6.077,958490.0,27776.499999999996,63.64,5
Barbade,0.96,1090985.0,32864.600000000006,56.386,5
Bangladesh,6.733,958490.0,22385.45,19.925,2
Bolivie (État plurinational de),9.208,899360.0,27145.050000000003,47.882,2
Botswana,11.692,938050.0,26345.7,37.531,2
Brésil,4.981,1184790.0,34240.65,58.48,3
Belize,12.912,1001560.0,26842.100000000002,44.86,2
Îles Salomon,17.238,880015.0,19290.25,29.934,1
Bulgarie,-3.978,1041710.0,30017.6,50.365,5
Myanmar,4.229,1039155.0,35613.049999999996,47.392,5
Burundi,20.862,666125.0,15822.75,7.082,1
Cameroun,17.208,1011050.0,26290.95,15.285,1
Canada,5.991,1291735.0,39620.75,56.306,3
Cabo Verde,7.462,942795.0,26243.500000000004,36.134,2
République centrafricaine,6.683,682550.0,18578.5,41.297,2
Sri Lanka,3.197,992435.0,24611.95,28.118,2
Tchad,20.623,829280.0,28491.9,34.678,2
Chili,7.857,1123470.0,34262.55,52.786,5
"Chine, continentale",3.01,1221655.0,38434.5,39.174,5
Colombie,8.267,1092080.0,26542.8,52.365,5
Comores,14.751,834025.0,21013.05,32.361,1
Congo,16.392,796795.0,19385.15,48.032,2
Costa Rica,6.441,1093540.0,29506.600000000002,57.249,5
Cuba,0.45,1231875.0,30145.350000000002,41.421,5
Chypre,4.783,1111790.0,33718.7,50.227,5
Azerbaïdjan,7.056,1151210.0,35010.8,36.134,4
Bénin,17.957,1012875.0,22965.8,20.518,1
Danemark,2.372,1248665.0,42113.7,66.493,3
Dominique,1.115,1069085.0,29736.55,55.309,5
République dominicaine,6.874,1084050.0,25473.350000000002,50.193,5
Bélarus,0.307,1202675.0,33452.25,54.315,5
Équateur,10.608,935495.0,23392.850000000002,50.991,2
Égypte,13.555,1207055.0,34864.799999999996,24.791,4
El Salvador,2.992,999735.0,28386.05,35.284,5
Estonie,0.499,1155955.0,37357.75,63.429,3
Fidji,2.812,1043535.0,28433.500000000004,46.521,5
Finlande,1.713,1211800.0,42876.55,62.152,3
France,1.935,1289180.0,40051.450000000004,58.808,3
Polynésie française,3.314,1066165.0,34886.7,64.606,5
Djibouti,10.219,1020175.0,24064.45,19.733,2
Géorgie,-1.283,1043900.0,28875.15,42.296,5
Gabon,19.565,961045.0,28809.45,47.624,2
Gambie,19.554,906295.0,22929.3,29.37,1
Allemagne,2.886,1299035.0,38047.6,60.15,3
Bosnie-Herzégovine,-6.82,1211800.0,35846.649999999994,36.116,5
Ghana,14.32,1136610.0,22542.399999999998,23.656,1
Kiribati,9.005,1120915.0,25677.749999999996,50.007,5
Grèce,-2.486,1239540.0,39182.75,58.23,3
Grenade,3.543,904835.0,26466.15,58.64,5
