Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","17876.546427","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","469.91909","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.88638","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","351430.991183","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6001.389576","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-5.775297","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","15278.072762","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","5303.197823","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","0.928996","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","171157.863119","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3975.510381","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-4.295828","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3861123.558039","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46231.563366","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-3.047498","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3154.137481","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","40887.421647","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.170092","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","85000.612455","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","2670.850732","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-18.810326","Fc","Donnée calculée",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","379.58436","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","25528.573567","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","17.340632","Fc","Donnée calculée",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1661.962963","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","17112.821135","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","2.639499","Fc","Donnée calculée",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","792966.956659","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","23139.802114","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-0.845079","Fc","Donnée calculée",""
