Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","28","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","67","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1816","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","488","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","48","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2186","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","34","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","291","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","287","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1544","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","831","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","644","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1712","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","49","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","278","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","327","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","800","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","650","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","38","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1433","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2248","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","234","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2020","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","43","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","55","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1278","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","9","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","45","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1243","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","132","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","113","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","87","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","177","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","112","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","39","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","146","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","6","Im","Données de la FAO basées sur une méthodologie d'imputation"
