Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2273","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","57.31","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","187","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","10.34","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2898","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","79.77","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","466","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.13","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3338","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","116.02","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1021","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.47","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3493","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.84","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","379","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","24.09","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3559","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","104.24","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1057","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.7","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2445","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","52.09","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","211","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","15.54","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2485","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.8","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","720","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","51.32","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3302","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","89.55","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","465","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.7","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3304","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","106.95","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1017","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","67.89","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3022","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","94.29","Fc","Donn?e calcul?e"
