pays,groupe_cah,groupe_km
Australie,4.0,1.0
Autriche,4.0,1.0
Canada,4.0,1.0
Danemark,4.0,1.0
Finlande,4.0,1.0
Gabon,5.0,
Allemagne,4.0,1.0
Chine - RAS de Hong-Kong,5.0,4.0
Irlande,4.0,1.0
Israël,4.0,1.0
Italie,4.0,
République de Corée,4.0,
Koweït,5.0,4.0
Chine - RAS de Macao,5.0,1.0
Mauritanie,5.0,
Mongolie,5.0,4.0
Nouvelle-Zélande,4.0,1.0
Norvège,4.0,1.0
Espagne,4.0,
Suède,4.0,1.0
Suisse,4.0,1.0
Oman,5.0,
Émirats arabes unis,5.0,4.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,4.0,1.0
États-Unis d'Amérique,4.0,1.0
Luxembourg,5.0,1.0
Belgique,,1.0
Arménie,,4.0
Slovaquie,,4.0
Arabie saoudite,,4.0
Tchéquie,,4.0
Macédoine du Nord,,4.0
Lettonie,,4.0
Kazakhstan,,4.0
Géorgie,,4.0
Estonie,,4.0
Cuba,,4.0
Bulgarie,,4.0
Albanie,,4.0
Suriname,,4.0
Monténégro,,4.0
