pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_prot_anim,PIB_par_habitant,taux_suffisance,dep_import,groupe_cah,groupe_km,F1,F2
Lesotho,6.36,799350.0,22454.800000000003,29.31,1157.536027,12.5,118.75,1,0,1.8008562717307337,2.084609055452358
Ghana,20.54,1136610.0,22542.399999999998,23.66,2202.629207,30.136986301369863,69.86301369863014,1,0,1.3980302261110804,1.0809277782891447
Guinée,21.98,1039885.0,20983.850000000002,20.61,967.360684,31.428571428571427,114.28571428571428,1,0,1.9027591396407224,1.8073537133030986
Haïti,13.01,788035.0,17392.25,22.96,714.830247,8.91089108910891,90.0990099009901,1,0,2.602677923508803,1.680972712994844
Iraq,26.3,954475.0,23641.05,19.27,5729.677358,49.029126213592235,52.42718446601942,1,0,2.0376265584682356,0.6233014866788953
Kirghizistan,16.85,995720.0,30970.249999999996,41.13,1317.770772,19.047619047619047,80.95238095238095,1,0,0.6768695375578512,1.5784935465510195
Bénin,24.2,1012875.0,22965.8,20.52,1220.492825,12.396694214876034,96.69421487603306,1,0,2.0032148901931666,1.837475620210989
Libéria,23.96,784385.0,15370.15,25.31,522.999168,30.76923076923077,69.23076923076923,1,0,2.9663523707767236,1.1749858090060072
Mauritanie,25.02,1049375.0,30265.8,37.69,1677.917728,16.666666666666664,103.33333333333334,5,0,0.9209010183555241,2.0650345156636782
Congo,22.96,796795.0,19385.15,48.03,2304.126508,6.1946902654867255,94.69026548672566,1,0,2.0130879414444354,2.193768539009419
Namibie,16.58,903010.0,23936.7,35.0,4957.358577,37.93103448275862,106.89655172413792,1,0,1.4117684790508476,1.7219938395254428
Gambie,25.87,906295.0,22929.3,29.37,776.444497,7.6923076923076925,96.15384615384616,1,0,2.132842206068789,2.0245226832707233
Papouasie-Nouvelle-Guinée,18.59,819060.0,23473.15,55.84,2845.190636,20.588235294117645,88.23529411764706,1,0,1.2550288985957674,1.8876867942099211
République centrafricaine,8.59,682550.0,18578.5,41.3,467.907246,53.84615384615385,46.15384615384615,1,0,2.0162408369754723,0.4008946737923169
Cabo Verde,11.5,942795.0,26243.500000000004,36.13,3603.782576,10.0,130.0,1,0,1.0651017799944875,2.447956177086828
Guinée-Bissau,22.75,813950.0,15797.2,19.41,688.351615,60.0,60.0,1,0,2.8822304153898664,0.5048535713599133
Gabon,27.78,961045.0,28809.45,47.62,7773.19892,5.263157894736842,94.73684210526315,5,0,0.996762498893306,2.306932343681005
Sierra Leone,19.72,851180.0,18370.45,22.07,527.533632,62.5,62.5,1,0,2.4251131731712623,0.48521619325523885
Afghanistan,25.36,829645.0,20918.15,18.04,469.91909,41.7910447761194,65.67164179104478,1,0,2.697976244838093,0.8973053301543386
Îles Salomon,23.09,880015.0,19290.25,29.93,1944.818169,0.0,100.0,1,0,2.3407172610002696,2.184499523139645
République démocratique du Congo,28.05,698245.0,9457.15,12.39,545.216205,7.142857142857142,92.85714285714286,1,0,4.178363596089488,1.8741544008912494
Yémen,22.79,736935.0,19465.45,20.59,855.066811,54.54545454545454,39.77272727272727,1,0,2.862539347483997,0.2806603971680221
Botswana,15.2,938050.0,26345.7,37.53,7961.365304,28.57142857142857,71.42857142857143,1,0,1.035786418890318,1.2967406074877497
Angola,29.26,892425.0,19012.850000000002,29.83,2670.850732,14.984709480122325,85.01529051987767,1,0,2.466037317423897,1.7985017520666742
Tadjikistan,20.99,906660.0,26148.6,32.44,894.012934,42.10526315789473,31.57894736842105,1,0,1.5881629852274126,0.3868819150183554
Timor-Leste,16.92,814680.0,17585.7,21.73,1560.50984,9.090909090909092,100.0,1,0,2.6527361271577883,1.8920400928685268
Oman,42.19,1077115.0,30904.55,48.35,15343.062004,6.1946902654867255,101.76991150442478,5,0,0.818124199045628,2.680066397006126
Arabie saoudite,22.29,1205230.0,32685.75,39.87,23139.802114,55.82693649685974,45.35938590369854,3,1,-0.3588354496448535,0.6841795744773654
Croatie,-5.11,1141720.0,34131.15,61.1,14627.294714,78.26086956521739,43.47826086956522,3,1,-1.6947467599508563,0.055112565218218224
Kazakhstan,13.52,1215815.0,37996.5,54.64,9792.625928,60.281690140845065,51.267605633802816,3,1,-1.21035735985888,0.5934257147637271
Japon,-1.34,982215.0,32127.3,55.86,40063.485352,90.04702194357367,42.86833855799373,3,1,-1.3688335992024583,0.17840930168895053
Émirats arabes unis,18.97,1125660.0,29356.95,44.4,43103.323058,6.933744221879815,105.70107858243452,5,1,-0.4013014394096642,2.6570424307357605
Trinité-et-Tobago,5.31,1080035.0,31043.25,51.73,16637.259813,69.66292134831461,28.08988764044944,3,1,-0.7035515546322754,0.014326252085537585
Lettonie,-12.48,1187345.0,34499.799999999996,58.41,17885.427445,87.5,120.0,3,1,-2.156476108596829,1.1020205236968148
Libye,9.49,1146465.0,30353.399999999998,37.41,4810.082385,62.0,38.0,3,1,-0.04365108071738015,0.07680161983152269
Turkménistan,15.72,1050835.0,32839.05,40.67,8124.494047,70.0,43.333333333333336,3,1,0.07876413715499954,0.22515971501411927
Mongolie,17.1,1051200.0,37865.1,71.1,4295.235029,0.0,140.0,5,1,-0.8236262913895548,3.1734016957652442
République de Moldova,-1.34,980755.0,25491.600000000002,39.48,2956.883244,64.17910447761194,34.32835820895522,2,1,0.3658674713132763,-0.1402982597576467
Macédoine du Nord,0.69,1129675.0,30758.55,43.68,6093.14769,2.380952380952381,97.61904761904762,3,1,-0.33360601075329593,1.9269276489836809
Suriname,10.02,1006670.0,24834.600000000002,47.82,6359.634834,36.666666666666664,63.33333333333333,1,1,0.47434823932887865,1.0292890357153501
Slovaquie,1.02,1063610.0,25940.55,53.58,19255.895672,73.95833333333334,108.33333333333333,3,1,-0.6378642431510544,1.284304470161613
