pays,population,Évolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales,PIB_par_habitant,taux_suffisance(٪),taux_dépendance_importations(٪)
Arménie,2957731.0,0.02,1103030.0,34415.850000000006,0.56,4622.733216,0.21818181818181817,0.7818181818181819
Afghanistan,38041754.0,0.25,829645.0,20918.15,0.18,469.91909,0.417910447761194,0.6567164179104478
Albanie,2880917.0,-0.03,1218370.0,42347.299999999996,0.54,5303.197823,0.35294117647058826,0.6470588235294118
Algérie,43053054.0,0.18,1274945.0,33156.6,0.27,3975.510381,1.0139372822299653,0.0
Angola,31825295.0,0.29,892425.0,19012.850000000002,0.3,2670.850732,0.14984709480122324,0.8501529051987767
Antigua-et-Barbuda,97118.0,0.11,907025.0,29492.0,0.64,17112.821135,0.0,1.0
Argentine,44780677.0,0.1,1205960.0,39036.75,0.63,10041.463303,1.112871287128713,0.0024752475247524753
Australie,25203198.0,0.14,1247205.0,39398.1,0.68,54763.202388,1.0281576830249397,0.007240547063555913
Autriche,8955102.0,0.07,1347215.0,39766.75,0.59,49700.761833,0.7457627118644068,0.6384180790960452
Bahamas,389482.0,0.1,958490.0,27776.499999999996,0.64,34863.742098,0.2727272727272727,1.1363636363636365
Barbade,287025.0,0.02,1090985.0,32864.600000000006,0.56,18148.958511,0.8888888888888888,0.1111111111111111
Bangladesh,163046161.0,0.11,958490.0,22385.45,0.2,1846.416377,1.0,0.0
Bolivie (État plurinational de),11513100.0,0.14,899360.0,27145.050000000003,0.48,3552.06876,0.9959677419354839,0.004032258064516129
Botswana,2303697.0,0.15,938050.0,26345.7,0.38,7961.365304,0.2857142857142857,0.7142857142857143
Brésil,211049527.0,0.08,1184790.0,34240.65,0.58,8755.271208,1.426970828706975,0.000504693650953871
Belize,390353.0,0.19,1001560.0,26842.100000000002,0.45,4815.171852,1.0,0.0
Îles Salomon,669823.0,0.23,880015.0,19290.25,0.3,1944.818169,0.0,1.0
Bulgarie,7000119.0,-0.07,1041710.0,30017.6,0.5,9703.487814,0.6770186335403726,0.6894409937888198
Myanmar,54045420.0,0.07,1039155.0,35613.049999999996,0.47,1420.740813,0.9994499449944995,0.00055005500550055
Burundi,11530580.0,0.27,640210.0,15581.849999999999,0.06,260.381563,1.4,0.0
Cameroun,25876380.0,0.24,1011050.0,26290.95,0.15,1501.808291,0.9882352941176471,0.023529411764705882
Canada,37411047.0,0.1,1291735.0,39620.75,0.56,46550.335507,0.9785296031229668,0.11646063760572543
Cabo Verde,549935.0,0.12,942795.0,26243.500000000004,0.36,3603.782576,0.1,1.3
République centrafricaine,4745185.0,0.09,682550.0,18578.5,0.41,467.907246,0.5384615384615384,0.46153846153846156
Sri Lanka,21323733.0,0.06,992435.0,24611.95,0.28,3939.684198,1.0053191489361701,0.0
Tchad,15946876.0,0.28,829280.0,28491.9,0.35,706.825833,1.0,0.2857142857142857
Chili,18952038.0,0.11,1123470.0,34262.55,0.53,14896.453867,1.1308823529411764,0.20147058823529412
"Chine, continentale",1433783686.0,0.05,1221655.0,38434.5,0.39,10003.555003,1.0220488975551223,0.03974801259937003
Colombie,50339443.0,0.11,1092080.0,26542.8,0.52,6432.387583,0.9363938053097345,0.06360619469026549
Comores,850886.0,0.21,834025.0,21013.05,0.32,1370.149168,0.2,0.0
Congo,5380508.0,0.23,796795.0,19385.15,0.48,2304.126508,0.061946902654867256,0.9469026548672567
Costa Rica,5047561.0,0.1,1093540.0,29506.600000000002,0.57,12238.375054,1.0357142857142858,0.10714285714285714
Cuba,11333483.0,0.01,1231875.0,30145.350000000002,0.41,9295.901636,0.07861635220125786,0.9245283018867925
Chypre,1198575.0,0.08,1111790.0,33718.7,0.5,28284.907631,0.7714285714285715,0.42857142857142855
Azerbaïdjan,10047718.0,0.11,1151210.0,35010.8,0.36,4781.946215,0.7671232876712328,0.2671232876712329
Bénin,11801151.0,0.24,1012875.0,22965.8,0.21,1220.492825,0.12396694214876033,0.9669421487603306
Danemark,5771876.0,0.04,1248665.0,42113.7,0.66,60656.938517,1.082191780821918,0.9726027397260274
Dominique,71808.0,0.01,1069085.0,29736.55,0.55,8110.516934,0.0,1.0
République dominicaine,10738958.0,0.11,1084050.0,25473.350000000002,0.5,8282.123087,0.8679706601466992,0.13202933985330073
Bélarus,9452411.0,0.0,1202675.0,33452.25,0.54,6673.531291,1.7232472324723247,0.03690036900369004
Équateur,17373662.0,0.15,935495.0,23392.850000000002,0.51,6183.823825,0.9968051118210862,0.0
Égypte,100388073.0,0.19,1207055.0,34864.799999999996,0.25,3161.324684,0.9678068410462777,0.02414486921529175
El Salvador,6453553.0,0.05,999735.0,28386.05,0.35,4187.250031,0.8963414634146342,0.11585365853658537
Estonie,1325648.0,-0.01,1155955.0,37357.75,0.63,23740.163796,0.6896551724137931,0.8620689655172413
Fidji,889953.0,0.04,1043535.0,28433.500000000004,0.47,6185.100338,0.8974358974358975,0.1282051282051282
Finlande,5532156.0,0.03,1211800.0,42876.55,0.62,48678.365212,1.188034188034188,0.1452991452991453
Polynésie française,279287.0,0.05,1066165.0,34886.7,0.65,21566.946149,0.058823529411764705,1.0
Géorgie,3996765.0,-0.03,1043900.0,28875.15,0.42,4439.323978,0.3235294117647059,0.7941176470588235
Gabon,2172579.0,0.28,961045.0,28809.45,0.48,7773.19892,0.05263157894736842,0.9473684210526315
Gambie,2347706.0,0.26,906295.0,22929.3,0.29,776.444497,0.07692307692307693,0.9615384615384616
Allemagne,83517045.0,0.03,1299035.0,38047.6,0.6,46231.563366,0.9018691588785047,0.48539719626168226
Bosnie-Herzégovine,3301000.0,-0.13,1211800.0,35846.649999999994,0.36,6108.558032,1.25,0.19642857142857142
Ghana,30417856.0,0.21,1136610.0,22542.399999999998,0.24,2202.629207,0.3013698630136986,0.6986301369863014
Kiribati,117606.0,0.14,1120915.0,25677.749999999996,0.5,1656.944815,0.5,1.0
Grèce,10473455.0,-0.05,1239540.0,39182.75,0.58,19604.489125,0.8550185873605948,0.2936802973977695
Grenade,112003.0,0.06,904835.0,26466.15,0.59,10817.732726,0.0,0.875
Guatemala,17581472.0,0.19,932940.0,25436.85,0.31,4363.138793,0.6464088397790055,0.3784530386740331
Guinée,12771246.0,0.22,1039885.0,20983.850000000002,0.21,967.360684,0.3142857142857143,1.1428571428571428
Guyana,782766.0,0.04,1073100.0,31809.750000000004,0.44,6609.587274,1.21875,0.03125
Haïti,11263077.0,0.13,788035.0,17392.25,0.23,714.830247,0.0891089108910891,0.900990099009901
Honduras,9746117.0,0.16,977470.0,22732.2,0.34,2574.908102,0.9396551724137931,0.06465517241379311
Chine - RAS de Hong-Kong,7436154.0,0.07,1181140.0,47249.24999999999,0.75,49180.094302,0.04318181818181818,1.7568181818181818
Hongrie,9684679.0,-0.03,1237715.0,32660.2,0.56,16879.138985,1.7106109324758842,0.24437299035369775
Croatie,4130304.0,-0.05,1141720.0,34131.15,0.61,14627.294714,0.782608695652174,0.43478260869565216
Islande,339031.0,0.07,1327505.0,52538.1,0.73,71344.613669,0.9090909090909091,0.18181818181818182
Inde,1366417754.0,0.11,942065.0,23677.550000000003,0.24,2116.177386,1.0014197823000472,0.0
Indonésie,270625568.0,0.12,1050835.0,24652.100000000002,0.36,4135.569274,1.6263786764705883,0.0
Iran (République islamique d'),82913906.0,0.12,1096825.0,30338.800000000003,0.3,7282.005946,1.0223015165031222,0.001784121320249777
Iraq,39309783.0,0.26,954475.0,23641.05,0.19,5729.677358,0.49029126213592233,0.5242718446601942
Irlande,4882495.0,0.08,1391015.0,40533.25,0.57,81636.578555,1.1159420289855073,0.6884057971014492
Israël,8519377.0,0.16,1298670.0,46026.5,0.61,46376.46651,1.0081699346405228,0.0
Italie,60550075.0,0.02,1279325.0,38157.100000000006,0.53,33089.573308,1.1596925704526047,0.0802732707087959
Côte d'Ivoire,25716544.0,0.22,1036965.0,21633.550000000003,0.24,2276.340329,0.9814814814814815,0.018518518518518517
Kazakhstan,18551427.0,0.14,1215815.0,37996.5,0.55,9792.625928,0.6028169014084507,0.5126760563380282
Jamaïque,2948279.0,0.05,1011050.0,28137.850000000002,0.5,5369.49399,0.8220858895705522,0.19631901840490798
Japon,126860301.0,-0.01,982215.0,32127.3,0.56,40063.485352,0.9004702194357367,0.4286833855799373
Jordanie,10101694.0,0.32,923085.0,23257.8,0.39,4405.480596,0.7805907172995781,0.2616033755274262
Kirghizistan,6415850.0,0.17,995720.0,30970.249999999996,0.41,1317.770772,0.19047619047619047,0.8095238095238095
Kenya,52573973.0,0.22,804825.0,22334.35,0.25,1816.523795,1.0470588235294118,0.0
Cambodge,16486542.000000002,0.15,985500.0,23918.45,0.29,1643.641451,0.7777777777777778,0.027777777777777776
République populaire démocratique de Corée,25666161.0,0.05,765405.0,20082.300000000003,0.19,639.55639,1.0731707317073171,0.14634146341463414
République de Corée,51225308.0,0.04,1260345.0,36135.0,0.54,32143.085012,0.8764976958525346,0.17050691244239632
Koweït,4207083.0,0.33,1258885.0,36872.299999999996,0.49,31999.271891,0.27450980392156865,0.7549019607843137
Lettonie,1906743.0,-0.12,1187345.0,34499.799999999996,0.58,17885.427445,0.875,1.2
République démocratique populaire lao,7169455.0,0.14,1008130.0,27411.499999999996,0.24,2625.387111,0.9,0.1
Liban,6855713.0,0.3,1047550.0,26064.649999999998,0.35,7784.316857,1.0588235294117647,0.13445378151260504
Lesotho,2125268.0,0.06,799350.0,22454.800000000003,0.29,1157.536027,0.125,1.1875
Libéria,4937374.0,0.24,784385.0,15370.15,0.25,522.999168,0.3076923076923077,0.6923076923076923
Libye,6777452.0,0.09,1146465.0,30353.399999999998,0.37,4810.082385,0.62,0.38
Lituanie,2759627.0,-0.15,1244650.0,42354.600000000006,0.58,19795.215752,1.1764705882352942,0.5764705882352941
Chine - RAS de Macao,640445.0,0.18,1208880.0,39168.15,0.64,84096.705446,0.13636363636363635,1.4545454545454546
Madagascar,26969307.0,0.24,697880.0,15570.9,0.21,522.989511,1.0,0.0
Malawi,18628747.0,0.24,949000.0,25553.65,0.21,434.772494,1.0,0.0
Malaisie,31949777.0,0.13,1069815.0,28298.45,0.56,11414.293654,1.3758012820512822,0.058493589743589744
Mali,19658031.0,0.26,1054120.0,29353.3,0.22,886.794271,1.1458333333333333,0.020833333333333332
Malte,440372.0,0.07,1233335.0,38456.4,0.58,33752.370516,0.3076923076923077,0.6923076923076923
Mauritanie,4525696.0,0.25,1049375.0,30265.8,0.38,1677.917728,0.16666666666666666,1.0333333333333334
Maurice,1269668.0,0.02,1107045.0,31806.1,0.48,11168.6188,0.9272727272727272,0.07272727272727272
Mexique,127575529.0,0.12,1154495.0,33452.25,0.49,9848.604353,0.7737178076161128,0.2273827867048206
Mongolie,3225167.0,0.17,1051200.0,37865.1,0.71,4295.235029,0.0,1.4
Maroc,36471769.0,0.12,1228225.0,36189.75,0.28,3282.007597,1.1464713715046604,0.009320905459387484
Mozambique,30366036.0,0.25,777450.0,17264.5,0.15,503.745209,0.9333333333333333,0.2
République de Moldova,4043263.0,-0.01,980755.0,25491.600000000002,0.39,2956.883244,0.6417910447761194,0.34328358208955223
Namibie,2494530.0,0.17,903010.0,23936.7,0.35,4957.358577,0.3793103448275862,1.0689655172413792
Népal,28608710.0,0.06,1052295.0,27338.500000000004,0.18,1073.621801,1.0,0.0
Pays-Bas,17097130.0,0.03,1223845.0,39460.15,0.64,53052.814311,6.953020134228188,4.040268456375839
Nouvelle-Calédonie,282750.0,0.12,1041710.0,32222.2,0.58,34941.501541,0.09090909090909091,0.9090909090909091
Macédoine du Nord,2083458.9999999998,0.01,1129675.0,30758.55,0.44,6093.14769,0.023809523809523808,0.9761904761904762
Vanuatu,299882.0,0.23,950825.0,23538.85,0.41,3023.409445,0.25,1.0
Nouvelle-Zélande,4783063.0,0.1,1178220.0,35204.25,0.58,43229.343479,1.0762331838565022,0.004484304932735426
Nicaragua,6545502.0,0.12,956300.0,24042.550000000003,0.29,1912.899162,1.0687022900763359,0.05343511450381679
Niger,23310715.0,0.32,957395.0,30959.3,0.12,554.579943,0.7307692307692307,0.11538461538461539
Nigéria,200963599.0,0.23,936225.0,21217.45,0.12,2361.206967,0.9523809523809523,0.047619047619047616
Norvège,5378857.0,0.1,1258885.0,42442.2,0.55,74985.515257,0.981651376146789,0.027522935779816515
Pakistan,216565318.0,0.19,906295.0,24104.600000000002,0.44,1186.69208,1.431390977443609,0.0
Panama,4246439.0,0.16,1086605.0,32072.550000000003,0.55,15727.970387,0.9105691056910569,0.08943089430894309
Tchéquie,10689209.0,0.02,1199390.0,31671.05,0.6,23451.735721,0.6563706563706564,0.44787644787644787
Papouasie-Nouvelle-Guinée,8776109.0,0.19,819060.0,23473.15,0.56,2845.190636,0.20588235294117646,0.8823529411764706
Paraguay,7044636.0,0.13,1011050.0,25568.25,0.38,5406.483416,1.0694444444444444,0.013888888888888888
Pérou,32510453.0,0.11,1016890.0,32320.75,0.48,6977.76782,1.0309941520467836,0.04152046783625731
Philippines,108116615.0,0.15,1025285.0,23819.9,0.4,3323.767006,1.0201809324982603,0.21294363256784968
Pologne,37887768.0,-0.01,1280420.0,38310.399999999994,0.54,15727.030606,2.2070750647109576,0.07592752372735116
Portugal,10226187.0,-0.04,1262170.0,42975.1,0.64,23350.353854,1.044776119402985,0.26865671641791045
Guinée-Bissau,1920922.0,0.23,813950.0,15797.2,0.19,688.351615,0.6,0.6
Timor-Leste,1293119.0,0.17,814680.0,17585.7,0.22,1560.50984,0.09090909090909091,1.0
Zimbabwe,14645468.0,0.14,623055.0,13946.65,0.27,1463.985913,0.9629629629629629,0.018518518518518517
Roumanie,19364557.0,-0.07,1309620.0,39328.75,0.51,12914.107396,1.0879828326180256,0.27896995708154504
Rwanda,12626950.0,0.23,808110.0,21472.95,0.14,820.091211,0.9047619047619048,0.0
Fédération de Russie,145872256.0,0.02,1227495.0,38262.95,0.53,11605.566389,0.9995659722222222,0.050347222222222224
Saint-Kitts-et-Nevis,52823.0,0.08,931845.0,26024.5,0.62,19896.495704,0.0,1.0
Sainte-Lucie,182790.0,0.06,961045.0,30769.5,0.58,11611.422134,0.16666666666666666,0.8333333333333334
Saint-Vincent-et-les Grenadines,110589.0,0.02,1076385.0,33382.899999999994,0.57,7463.537831,0.0,0.8888888888888888
Sao Tomé-et-Principe,215056.0,0.18,876730.0,19914.4,0.33,1961.24581,0.3333333333333333,1.0
Arabie saoudite,34268528.0,0.22,1205230.0,32685.75,0.4,23139.802114,0.5582693649685974,0.45359385903698535
Sénégal,16296364.0,0.24,949365.0,23502.35,0.23,1452.134664,0.991304347826087,0.0
Seychelles,97739.0,0.07,1139895.0,34967.0,0.53,17381.651083,0.25,0.75
Sierra Leone,7813215.0,0.2,851180.0,18370.45,0.22,527.533632,0.625,0.625
Slovénie,2078654.0,0.02,1149385.0,34799.1,0.55,26062.16682,1.4,0.46
Slovaquie,5457013.0,0.01,1063610.0,25940.55,0.54,19255.895672,0.7395833333333334,1.0833333333333333
Afrique du Sud,58558270.0,0.14,1057770.0,29116.05,0.44,6001.389576,0.8307410795974383,0.2232387923147301
Espagne,46736776.0,0.0,1222020.0,39617.100000000006,0.63,29815.717809,1.0381922342457033,0.11966900063653724
Suriname,581372.0,0.1,1006670.0,24834.600000000002,0.48,6359.634834,0.36666666666666664,0.6333333333333333
Tadjikistan,9321018.0,0.21,906660.0,26148.6,0.32,894.012934,0.42105263157894735,0.3157894736842105
Eswatini,1148130.0,0.08,928560.0,21910.95,0.3,4001.578285,0.75,0.25
Suède,10036379.0,0.07,1162160.0,39456.5,0.64,52895.9567,0.6610878661087866,0.3514644351464435
Suisse,8591365.0,0.1,1233335.0,35463.4,0.63,85134.954826,0.6644295302013423,0.30201342281879195
République arabe syrienne,17070135.0,-0.24,1007400.0,27042.850000000002,0.29,1193.853039,0.8905109489051095,0.1678832116788321
Turkménistan,5942089.0,0.16,1050835.0,32839.05,0.41,8124.494047,0.7,0.43333333333333335
République-Unie de Tanzanie,58005463.0,0.26,866510.0,21929.2,0.19,1085.115284,0.9418604651162791,0.06976744186046512
Thaïlande,69625582.0,0.04,1024920.0,22202.95,0.43,7784.73908,1.9854586129753915,0.0044742729306487695
Togo,8082366.0,0.23,899360.0,20732.0,0.17,899.490744,0.6470588235294118,0.36764705882352944
Trinité-et-Tobago,1394973.0,0.05,1080035.0,31043.25,0.52,16637.259813,0.6966292134831461,0.2808988764044944
Oman,4974986.0,0.42,1077115.0,30904.55,0.48,15343.062004,0.061946902654867256,1.0176991150442478
Tunisie,11694719.0,0.1,1277135.0,36777.4,0.28,3317.515276,1.0985221674876848,0.0049261083743842365
Turquie,83429615.0,0.15,1362910.0,40540.549999999996,0.36,9126.562459,1.2780034822983168,0.025536854323853744
Émirats arabes unis,9770529.0,0.19,1125660.0,29356.95,0.44,43103.323058,0.06933744221879815,1.0570107858243452
Ouganda,44269594.0,0.29,786940.0,15746.1,0.23,736.603087,1.0147058823529411,0.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,67530172.0,0.07,1239175.0,38759.35,0.55,41854.503068,0.8142123287671232,0.3416095890410959
Ukraine,43993638.0,-0.04,1108140.0,32882.85,0.5,3495.531163,1.1759799833194329,0.07172643869891576
États-Unis d'Amérique,329064917.0,0.07,1409630.0,41978.65,0.66,65133.731652,1.184659238144597,0.006374708473697849
Burkina Faso,20321378.0,0.25,997545.0,29258.399999999998,0.14,786.895614,1.0,0.0
Uruguay,3461734.0,0.03,1171285.0,31941.15,0.55,16190.138438,0.9117647058823529,0.17647058823529413
Ouzbékistan,32981716.0,0.15,1174935.0,36635.05,0.43,1756.163496,0.8,0.2625
Viet Nam,96462106.0,0.1,1072735.0,32196.649999999998,0.39,2715.275874,0.8670382165605095,0.16162420382165604
Éthiopie,112078730.0,0.24,890235.0,25750.75,0.09,827.544333,0.9871794871794872,0.01282051282051282
Samoa,197097.0,0.06,1129675.0,32663.85,0.59,4285.485317,0.0,1.1764705882352942
Yémen,29161922.0,0.23,736935.0,19465.45,0.21,855.066811,0.5454545454545454,0.3977272727272727
République démocratique du Congo,86790567.0,0.28,698245.0,9457.15,0.12,545.216205,0.07142857142857142,0.9285714285714286
Zambie,17861030.0,0.26,827455.0,22224.85,0.23,1292.482076,0.7846153846153846,0.35384615384615387
Belgique,11539328.0,0.06,1387000.0,36624.1,0.6,46198.310321,2.3957219251336896,1.7112299465240641
Luxembourg,615729.0,0.19,1278960.0,39766.75,0.61,115480.86757,0.0,1.0
Serbie,8772235.0,-0.03,1045725.0,31601.7,0.51,7359.348533,0.9285714285714286,0.15178571428571427
Monténégro,627987.0,0.01,1284800.0,40876.35,0.6,8825.344514,0.4,0.7
