pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales(%),PIB_par_habitant,taux_dépendance_importations(٪),groupe_cah
Afghanistan,0.25,2273.0,57.31,0.18,469.91909,0.6567164179104478,3
Afrique du Sud,0.14,2898.0,79.77,0.44,6001.389576,0.2232387923147301,2
Albanie,-0.03,3338.0,116.02,0.54,5303.197823,0.6470588235294118,2
Algérie,0.18,3493.0,90.84,0.27,3975.510381,0.0,2
Allemagne,0.03,3559.0,104.24,0.6,46231.563366,0.48539719626168226,1
Angola,0.29,2445.0,52.09,0.3,2670.850732,0.8501529051987767,5
Antigua-et-Barbuda,0.11,2485.0,80.8,0.64,17112.821135,1.0,4
Arabie saoudite,0.22,3302.0,89.55,0.4,23139.802114,0.45359385903698535,5
Argentine,0.1,3304.0,106.95,0.63,10041.463303,0.0024752475247524753,2
Arménie,0.02,3022.0,94.29,0.56,4622.733216,0.7818181818181819,4
Australie,0.14,3417.0,107.94,0.68,54763.202388,0.007240547063555913,1
Autriche,0.07,3691.0,108.95,0.59,49700.761833,0.6384180790960452,1
Azerbaïdjan,0.11,3154.0,95.92,0.36,4781.946215,0.2671232876712329,2
Bahamas,0.1,2626.0,76.1,0.64,34863.742098,1.1363636363636365,4
Bangladesh,0.11,2626.0,61.33,0.2,1846.416377,0.0,3
Barbade,0.02,2989.0,90.04,0.56,18148.958511,0.1111111111111111,2
Belgique,0.06,3800.0,100.34,0.6,46198.310321,1.7112299465240641,1
Belize,0.19,2744.0,73.54,0.45,4815.171852,0.0,3
Bolivie (État plurinational de),0.14,2464.0,74.37,0.48,3552.06876,0.004032258064516129,3
Bosnie-Herzégovine,-0.13,3320.0,98.21,0.36,6108.558032,0.19642857142857142,2
Botswana,0.15,2570.0,72.18,0.38,7961.365304,0.7142857142857143,4
Brésil,0.08,3246.0,93.81,0.58,8755.271208,0.000504693650953871,2
Bulgarie,-0.07,2854.0,82.24,0.5,9703.487814,0.6894409937888198,4
Burkina Faso,0.25,2733.0,80.16,0.14,786.895614,0.0,3
Burundi,0.27,1754.0,42.69,0.06,260.381563,0.0,3
Bélarus,0.0,3295.0,91.65,0.54,6673.531291,0.03690036900369004,2
Bénin,0.24,2775.0,62.92,0.21,1220.492825,0.9669421487603306,5
Cabo Verde,0.12,2583.0,71.9,0.36,3603.782576,1.3,5
Cambodge,0.15,2700.0,65.53,0.29,1643.641451,0.027777777777777776,3
Cameroun,0.24,2770.0,72.03,0.15,1501.808291,0.023529411764705882,3
Canada,0.1,3539.0,108.55,0.56,46550.335507,0.11646063760572543,1
Chili,0.11,3078.0,93.87,0.53,14896.453867,0.20147058823529412,2
Chine - RAS de Hong-Kong,0.07,3236.0,129.45,0.75,49180.094302,1.7568181818181818,1
Chine - RAS de Macao,0.18,3312.0,107.31,0.64,84096.705446,1.4545454545454546,1
"Chine, continentale",0.05,3347.0,105.3,0.39,10003.555003,0.03974801259937003,2
Chypre,0.08,3046.0,92.38,0.5,28284.907631,0.42857142857142855,2
Colombie,0.11,2992.0,72.72,0.52,6432.387583,0.06360619469026549,2
Comores,0.21,2285.0,57.57,0.32,1370.149168,0.0,3
Congo,0.23,2183.0,53.11,0.48,2304.126508,0.9469026548672567,5
Costa Rica,0.1,2996.0,80.84,0.57,12238.375054,0.10714285714285714,2
Croatie,-0.05,3128.0,93.51,0.61,14627.294714,0.43478260869565216,2
Cuba,0.01,3375.0,82.59,0.41,9295.901636,0.9245283018867925,4
Côte d'Ivoire,0.22,2841.0,59.27,0.24,2276.340329,0.018518518518518517,3
Danemark,0.04,3421.0,115.38,0.66,60656.938517,0.9726027397260274,1
Dominique,0.01,2929.0,81.47,0.55,8110.516934,1.0,4
El Salvador,0.05,2739.0,77.77,0.35,4187.250031,0.11585365853658537,3
Espagne,0.0,3348.0,108.54,0.63,29815.717809,0.11966900063653724,2
Estonie,-0.01,3167.0,102.35,0.63,23740.163796,0.8620689655172413,4
Eswatini,0.08,2544.0,60.03,0.3,4001.578285,0.25,3
Fidji,0.04,2859.0,77.9,0.47,6185.100338,0.1282051282051282,2
Finlande,0.03,3320.0,117.47,0.62,48678.365212,0.1452991452991453,1
Fédération de Russie,0.02,3363.0,104.83,0.53,11605.566389,0.050347222222222224,2
Gabon,0.28,2633.0,78.93,0.48,7773.19892,0.9473684210526315,5
Gambie,0.26,2483.0,62.82,0.29,776.444497,0.9615384615384616,5
Ghana,0.21,3114.0,61.76,0.24,2202.629207,0.6986301369863014,5
Grenade,0.06,2479.0,72.51,0.59,10817.732726,0.875,4
Grèce,-0.05,3396.0,107.35,0.58,19604.489125,0.2936802973977695,2
Guatemala,0.19,2556.0,69.69,0.31,4363.138793,0.3784530386740331,3
Guinée,0.22,2849.0,57.49,0.21,967.360684,1.1428571428571428,5
Guinée-Bissau,0.23,2230.0,43.28,0.19,688.351615,0.6,3
Guyana,0.04,2940.0,87.15,0.44,6609.587274,0.03125,2
Géorgie,-0.03,2860.0,79.11,0.42,4439.323978,0.7941176470588235,4
Haïti,0.13,2159.0,47.65,0.23,714.830247,0.900990099009901,5
Honduras,0.16,2678.0,62.28,0.34,2574.908102,0.06465517241379311,3
Hongrie,-0.03,3391.0,89.48,0.56,16879.138985,0.24437299035369775,2
Inde,0.11,2581.0,64.87,0.24,2116.177386,0.0,3
Indonésie,0.12,2879.0,67.54,0.36,4135.569274,0.0,3
Iran (République islamique d'),0.12,3005.0,83.12,0.3,7282.005946,0.001784121320249777,3
Iraq,0.26,2615.0,64.77,0.19,5729.677358,0.5242718446601942,3
Irlande,0.08,3811.0,111.05,0.57,81636.578555,0.6884057971014492,1
Islande,0.07,3637.0,143.94,0.73,71344.613669,0.18181818181818182,1
Israël,0.16,3558.0,126.1,0.61,46376.46651,0.0,1
Italie,0.02,3505.0,104.54,0.53,33089.573308,0.0802732707087959,1
Jamaïque,0.05,2770.0,77.09,0.5,5369.49399,0.19631901840490798,2
Japon,-0.01,2691.0,88.02,0.56,40063.485352,0.4286833855799373,2
Jordanie,0.32,2529.0,63.72,0.39,4405.480596,0.2616033755274262,3
Kazakhstan,0.14,3331.0,104.1,0.55,9792.625928,0.5126760563380282,2
Kenya,0.22,2205.0,61.19,0.25,1816.523795,0.0,3
Kirghizistan,0.17,2728.0,84.85,0.41,1317.770772,0.8095238095238095,4
Kiribati,0.14,3071.0,70.35,0.5,1656.944815,1.0,4
Koweït,0.33,3449.0,101.02,0.49,31999.271891,0.7549019607843137,5
Lesotho,0.06,2190.0,61.52,0.29,1157.536027,1.1875,5
Lettonie,-0.12,3253.0,94.52,0.58,17885.427445,1.2,2
Liban,0.3,2870.0,71.41,0.35,7784.316857,0.13445378151260504,3
Libye,0.09,3141.0,83.16,0.37,4810.082385,0.38,2
Libéria,0.24,2149.0,42.11,0.25,522.999168,0.6923076923076923,3
Lituanie,-0.15,3410.0,116.04,0.58,19795.215752,0.5764705882352941,2
Luxembourg,0.19,3504.0,108.95,0.61,115480.86757,1.0,1
Macédoine du Nord,0.01,3095.0,84.27,0.44,6093.14769,0.9761904761904762,4
Madagascar,0.24,1912.0,42.66,0.21,522.989511,0.0,3
Malaisie,0.13,2931.0,77.53,0.56,11414.293654,0.058493589743589744,2
Malawi,0.24,2600.0,70.01,0.21,434.772494,0.0,3
Mali,0.26,2888.0,80.42,0.22,886.794271,0.020833333333333332,3
Malte,0.07,3379.0,105.36,0.58,33752.370516,0.6923076923076923,1
Maroc,0.12,3365.0,99.15,0.28,3282.007597,0.009320905459387484,2
Maurice,0.02,3033.0,87.14,0.48,11168.6188,0.07272727272727272,2
Mauritanie,0.25,2875.0,82.92,0.38,1677.917728,1.0333333333333334,5
Mexique,0.12,3163.0,91.65,0.49,9848.604353,0.2273827867048206,2
Mongolie,0.17,2880.0,103.74,0.71,4295.235029,1.4,4
Monténégro,0.01,3520.0,111.99,0.6,8825.344514,0.7,2
Mozambique,0.25,2130.0,47.3,0.15,503.745209,0.2,3
Myanmar,0.07,2847.0,97.57,0.47,1420.740813,0.00055005500550055,2
Namibie,0.17,2474.0,65.58,0.35,4957.358577,1.0689655172413792,5
Nicaragua,0.12,2620.0,65.87,0.29,1912.899162,0.05343511450381679,3
Niger,0.32,2623.0,84.82,0.12,554.579943,0.11538461538461539,3
Nigéria,0.23,2565.0,58.13,0.12,2361.206967,0.047619047619047616,3
Norvège,0.1,3449.0,116.28,0.55,74985.515257,0.027522935779816515,1
Nouvelle-Calédonie,0.12,2854.0,88.28,0.58,34941.501541,0.9090909090909091,4
Nouvelle-Zélande,0.1,3228.0,96.45,0.58,43229.343479,0.004484304932735426,1
Népal,0.06,2883.0,74.9,0.18,1073.621801,0.0,3
Oman,0.42,2951.0,84.67,0.48,15343.062004,1.0176991150442478,5
Ouganda,0.29,2156.0,43.14,0.23,736.603087,0.0,3
Ouzbékistan,0.15,3219.0,100.37,0.43,1756.163496,0.2625,2
Pakistan,0.19,2483.0,66.04,0.44,1186.69208,0.0,3
Panama,0.16,2977.0,87.87,0.55,15727.970387,0.08943089430894309,2
Papouasie-Nouvelle-Guinée,0.19,2244.0,64.31,0.56,2845.190636,0.8823529411764706,5
Paraguay,0.13,2770.0,70.05,0.38,5406.483416,0.013888888888888888,3
Philippines,0.15,2809.0,65.26,0.4,3323.767006,0.21294363256784968,3
Pologne,-0.01,3508.0,104.96,0.54,15727.030606,0.07592752372735116,2
Polynésie française,0.05,2921.0,95.58,0.65,21566.946149,1.0,4
Portugal,-0.04,3458.0,117.74,0.64,23350.353854,0.26865671641791045,2
Pérou,0.11,2786.0,88.55,0.48,6977.76782,0.04152046783625731,2
Roumanie,-0.07,3588.0,107.75,0.51,12914.107396,0.27896995708154504,2
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.07,3395.0,106.19,0.55,41854.503068,0.3416095890410959,1
Rwanda,0.23,2214.0,58.83,0.14,820.091211,0.0,3
République arabe syrienne,-0.24,2760.0,74.09,0.29,1193.853039,0.1678832116788321,2
République centrafricaine,0.09,1870.0,50.9,0.41,467.907246,0.46153846153846156,3
République de Corée,0.04,3453.0,99.0,0.54,32143.085012,0.17050691244239632,1
République de Moldova,-0.01,2687.0,69.84,0.39,2956.883244,0.34328358208955223,3
République dominicaine,0.11,2970.0,69.79,0.5,8282.123087,0.13202933985330073,2
République démocratique du Congo,0.28,1913.0,25.91,0.12,545.216205,0.9285714285714286,3
République démocratique populaire lao,0.14,2762.0,75.1,0.24,2625.387111,0.1,3
République populaire démocratique de Corée,0.05,2097.0,55.02,0.19,639.55639,0.14634146341463414,3
République-Unie de Tanzanie,0.26,2374.0,60.08,0.19,1085.115284,0.06976744186046512,3
Saint-Kitts-et-Nevis,0.08,2553.0,71.3,0.62,19896.495704,1.0,4
Saint-Vincent-et-les Grenadines,0.02,2949.0,91.46,0.57,7463.537831,0.8888888888888888,4
Sainte-Lucie,0.06,2633.0,84.3,0.58,11611.422134,0.8333333333333334,4
Samoa,0.06,3095.0,89.49,0.59,4285.485317,1.1764705882352942,4
Sao Tomé-et-Principe,0.18,2402.0,54.56,0.33,1961.24581,1.0,5
Serbie,-0.03,2865.0,86.58,0.51,7359.348533,0.15178571428571427,2
Seychelles,0.07,3123.0,95.8,0.53,17381.651083,0.75,4
Sierra Leone,0.2,2332.0,50.33,0.22,527.533632,0.625,3
Slovaquie,0.01,2914.0,71.07,0.54,19255.895672,1.0833333333333333,4
Slovénie,0.02,3149.0,95.34,0.55,26062.16682,0.46,2
Sri Lanka,0.06,2719.0,67.43,0.28,3939.684198,0.0,3
Suisse,0.1,3379.0,97.16,0.63,85134.954826,0.30201342281879195,1
Suriname,0.1,2758.0,68.04,0.48,6359.634834,0.6333333333333333,4
Suède,0.07,3184.0,108.1,0.64,52895.9567,0.3514644351464435,1
Sénégal,0.24,2601.0,64.39,0.23,1452.134664,0.0,3
Tadjikistan,0.21,2484.0,71.64,0.32,894.012934,0.3157894736842105,3
Tchad,0.28,2272.0,78.06,0.35,706.825833,0.2857142857142857,3
Tchéquie,0.02,3286.0,86.77,0.6,23451.735721,0.44787644787644787,2
Thaïlande,0.04,2808.0,60.83,0.43,7784.73908,0.0044742729306487695,3
Timor-Leste,0.17,2232.0,48.18,0.22,1560.50984,1.0,5
Togo,0.23,2464.0,56.8,0.17,899.490744,0.36764705882352944,3
Trinité-et-Tobago,0.05,2959.0,85.05,0.52,16637.259813,0.2808988764044944,2
Tunisie,0.1,3499.0,100.76,0.28,3317.515276,0.0049261083743842365,2
Turkménistan,0.16,2879.0,89.97,0.41,8124.494047,0.43333333333333335,2
Turquie,0.15,3734.0,111.07,0.36,9126.562459,0.025536854323853744,2
Ukraine,-0.04,3036.0,90.09,0.5,3495.531163,0.07172643869891576,2
Uruguay,0.03,3209.0,87.51,0.55,16190.138438,0.17647058823529413,2
Vanuatu,0.23,2605.0,64.49,0.41,3023.409445,1.0,5
Viet Nam,0.1,2939.0,88.21,0.39,2715.275874,0.16162420382165604,2
Yémen,0.23,2019.0,53.33,0.21,855.066811,0.3977272727272727,3
Zambie,0.26,2267.0,60.89,0.23,1292.482076,0.35384615384615387,3
Zimbabwe,0.14,1707.0,38.21,0.27,1463.985913,0.018518518518518517,3
Égypte,0.19,3307.0,95.52,0.25,3161.324684,0.02414486921529175,2
Émirats arabes unis,0.19,3084.0,80.43,0.44,43103.323058,1.0570107858243452,4
Équateur,0.15,2563.0,64.09,0.51,6183.823825,0.0,3
États-Unis d'Amérique,0.07,3862.0,115.01,0.66,65133.731652,0.006374708473697849,1
Éthiopie,0.24,2439.0,70.55,0.09,827.544333,0.01282051282051282,3
Îles Salomon,0.23,2411.0,52.85,0.3,1944.818169,1.0,5
