pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales(%),PIB_par_habitant,taux_suffisance(٪),taux_dépendance_importations(٪),groupe_cah
Arménie,2.35,1103030.0,34415.850000000006,56.06,4622.733216,21.818181818181817,78.18181818181819,3
Afghanistan,25.36,829645.0,20918.15,18.04,469.91909,41.7910447761194,65.67164179104478,1
Albanie,-3.2,1218370.0,42347.299999999996,53.84,5303.197823,35.294117647058826,64.70588235294117,3
Algérie,17.93,1274945.0,33156.6,26.52,3975.510381,101.39372822299653,0.0,3
Angola,29.26,892425.0,19012.850000000002,29.83,2670.850732,14.984709480122325,85.01529051987767,1
Argentine,9.6,1205960.0,39036.75,63.48,10041.463303,111.2871287128713,0.24752475247524752,3
Australie,13.7,1247205.0,39398.1,67.55,54763.202388,102.81576830249396,0.7240547063555913,4
Autriche,6.5,1347215.0,39766.75,59.19,49700.761833,74.57627118644068,63.84180790960452,4
Bangladesh,10.5,958490.0,22385.45,19.92,1846.416377,100.0,0.0,2
Bolivie (État plurinational de),14.14,899360.0,27145.050000000003,47.88,3552.06876,99.59677419354838,0.4032258064516129,2
Botswana,15.2,938050.0,26345.7,37.53,7961.365304,28.57142857142857,71.42857142857143,1
Brésil,8.13,1184790.0,34240.65,58.48,8755.271208,142.6970828706975,0.050469365095387096,3
Îles Salomon,23.09,880015.0,19290.25,29.93,1944.818169,0.0,100.0,1
Bulgarie,-6.76,1041710.0,30017.6,50.36,9703.487814,67.70186335403726,68.94409937888199,3
Myanmar,7.02,1039155.0,35613.049999999996,47.39,1420.740813,99.94499449944995,0.055005500550055,3
Burundi,27.17,640210.0,15581.849999999999,5.93,260.381563,140.0,0.0,2
Cameroun,23.52,1011050.0,26290.95,15.29,1501.808291,98.82352941176471,2.3529411764705883,2
Canada,9.8,1291735.0,39620.75,56.31,46550.335507,97.85296031229667,11.646063760572543,4
Cabo Verde,11.5,942795.0,26243.500000000004,36.13,3603.782576,10.0,130.0,1
République centrafricaine,8.59,682550.0,18578.5,41.3,467.907246,53.84615384615385,46.15384615384615,1
Sri Lanka,5.63,992435.0,24611.95,28.12,3939.684198,100.53191489361701,0.0,2
Tchad,27.51,829280.0,28491.9,34.68,706.825833,100.0,28.57142857142857,2
Chili,10.9,1123470.0,34262.55,52.79,14896.453867,113.08823529411765,20.147058823529413,3
"Chine, continentale",5.06,1221655.0,38434.5,39.17,10003.555003,102.20488975551223,3.9748012599370033,3
Colombie,11.1,1092080.0,26542.8,52.37,6432.387583,93.63938053097345,6.360619469026549,3
Comores,20.88,834025.0,21013.05,32.36,1370.149168,20.0,0.0,1
Congo,22.96,796795.0,19385.15,48.03,2304.126508,6.1946902654867255,94.69026548672566,1
Costa Rica,10.44,1093540.0,29506.600000000002,57.25,12238.375054,103.57142857142858,10.714285714285714,3
Cuba,0.94,1231875.0,30145.350000000002,41.42,9295.901636,7.861635220125786,92.45283018867924,3
Chypre,8.38,1111790.0,33718.7,50.23,28284.907631,77.14285714285715,42.857142857142854,3
Azerbaïdjan,11.18,1151210.0,35010.8,36.13,4781.946215,76.71232876712328,26.71232876712329,3
Bénin,24.2,1012875.0,22965.8,20.52,1220.492825,12.396694214876034,96.69421487603306,1
Danemark,4.25,1248665.0,42113.7,66.49,60656.938517,108.21917808219179,97.26027397260275,4
République dominicaine,10.82,1084050.0,25473.350000000002,50.19,8282.123087,86.79706601466992,13.202933985330073,3
