pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_prot_anim,PIB_par_habitant,taux_suffisance,dep_import,groupe_cah
Arménie,2.35,1103030.0,34415.850000000006,56.06,4622.733216,21.818181818181817,78.18181818181819,3
Albanie,-3.2,1218370.0,42347.299999999996,53.84,5303.197823,35.294117647058826,64.70588235294117,3
Australie,13.7,1247205.0,39398.1,67.55,54763.202388,102.81576830249396,0.7240547063555913,5
Autriche,6.5,1347215.0,39766.75,59.19,49700.761833,74.57627118644068,63.84180790960452,5
Bulgarie,-6.76,1041710.0,30017.6,50.36,9703.487814,67.70186335403726,68.94409937888199,3
Canada,9.8,1291735.0,39620.75,56.31,46550.335507,97.85296031229667,11.646063760572543,5
Cuba,0.94,1231875.0,30145.350000000002,41.42,9295.901636,7.861635220125786,92.45283018867924,3
Chypre,8.38,1111790.0,33718.7,50.23,28284.907631,77.14285714285715,42.857142857142854,3
Danemark,4.25,1248665.0,42113.7,66.49,60656.938517,108.21917808219179,97.26027397260275,5
Estonie,-0.79,1155955.0,37357.75,63.43,23740.163796,68.96551724137932,86.20689655172413,3
Finlande,3.43,1211800.0,42876.55,62.15,48678.365212,118.80341880341881,14.529914529914532,5
Géorgie,-3.07,1043900.0,28875.15,42.3,4439.323978,32.35294117647059,79.41176470588235,3
Gabon,27.78,961045.0,28809.45,47.62,7773.19892,5.263157894736842,94.73684210526315,6
Allemagne,3.13,1299035.0,38047.6,60.15,46231.563366,90.18691588785047,48.53971962616823,5
Bosnie-Herzégovine,-13.18,1211800.0,35846.649999999994,36.12,6108.558032,125.0,19.642857142857142,3
Grèce,-4.64,1239540.0,39182.75,58.23,19604.489125,85.50185873605948,29.36802973977695,3
Chine - RAS de Hong-Kong,6.88,1181140.0,47249.24999999999,74.66,49180.094302,4.318181818181818,175.6818181818182,6
Croatie,-5.11,1141720.0,34131.15,61.1,14627.294714,78.26086956521739,43.47826086956522,3
Irlande,7.95,1391015.0,40533.25,57.05,81636.578555,111.59420289855073,68.84057971014492,5
Israël,15.6,1298670.0,46026.5,60.56,46376.46651,100.81699346405229,0.0,5
Italie,2.39,1279325.0,38157.100000000006,53.19,33089.573308,115.96925704526046,8.02732707087959,5
Japon,-1.34,982215.0,32127.3,55.86,40063.485352,90.04702194357367,42.86833855799373,3
République de Corée,3.67,1260345.0,36135.0,54.4,32143.085012,87.64976958525345,17.050691244239633,5
Koweït,32.95,1258885.0,36872.299999999996,48.91,31999.271891,27.450980392156865,75.49019607843137,6
Lettonie,-12.48,1187345.0,34499.799999999996,58.41,17885.427445,87.5,120.0,3
Lituanie,-14.77,1244650.0,42354.600000000006,58.5,19795.215752,117.64705882352942,57.647058823529406,3
Chine - RAS de Macao,17.81,1208880.0,39168.15,64.46,84096.705446,13.636363636363635,145.45454545454547,6
Mauritanie,25.02,1049375.0,30265.8,37.69,1677.917728,16.666666666666664,103.33333333333334,6
Mongolie,17.1,1051200.0,37865.1,71.1,4295.235029,0.0,140.0,6
Macédoine du Nord,0.69,1129675.0,30758.55,43.68,6093.14769,2.380952380952381,97.61904761904762,3
Nouvelle-Zélande,9.61,1178220.0,35204.25,57.68,43229.343479,107.62331838565022,0.4484304932735426,5
Norvège,10.26,1258885.0,42442.2,55.39,74985.515257,98.1651376146789,2.7522935779816518,5
Tchéquie,1.88,1199390.0,31671.05,60.03,23451.735721,65.63706563706563,44.78764478764479,3
Portugal,-3.7,1262170.0,42975.1,63.91,23350.353854,104.4776119402985,26.865671641791046,3
Roumanie,-6.58,1309620.0,39328.75,50.65,12914.107396,108.79828326180257,27.896995708154503,3
Slovénie,2.16,1149385.0,34799.1,54.52,26062.16682,140.0,46.0,3
Slovaquie,1.02,1063610.0,25940.55,53.58,19255.895672,73.95833333333334,108.33333333333333,3
Espagne,0.33,1222020.0,39617.100000000006,62.94,29815.717809,103.81922342457032,11.966900063653723,5
Suède,7.21,1162160.0,39456.5,64.15,52895.9567,66.10878661087865,35.146443514644346,5
Suisse,10.21,1233335.0,35463.4,63.1,85134.954826,66.44295302013423,30.201342281879196,5
République arabe syrienne,-24.23,1007400.0,27042.850000000002,29.14,1193.853039,89.05109489051095,16.78832116788321,3
Trinité-et-Tobago,5.31,1080035.0,31043.25,51.73,16637.259813,69.66292134831461,28.08988764044944,3
Oman,42.19,1077115.0,30904.55,48.35,15343.062004,6.1946902654867255,101.76991150442478,6
Émirats arabes unis,18.97,1125660.0,29356.95,44.4,43103.323058,6.933744221879815,105.70107858243452,6
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,6.96,1239175.0,38759.35,55.43,41854.503068,81.42123287671232,34.16095890410959,5
États-Unis d'Amérique,6.92,1409630.0,41978.65,66.02,65133.731652,118.4659238144597,0.6374708473697849,5
Uruguay,3.24,1171285.0,31941.15,54.67,16190.138438,91.17647058823529,17.647058823529413,3
Luxembourg,19.36,1278960.0,39766.75,61.08,115480.86757,0.0,100.0,6
Monténégro,0.8,1284800.0,40876.35,60.25,8825.344514,40.0,70.0,3
